team_name,common_name,season,country,matches_played,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away
Arsenal FC,Arsenal,2018/2019,England,38,21,14,7,7,3,4,10,2,8,1.84,2.37,1.32,5,5,73,51,22,124,58,66,42,31,16,35
Tottenham Hotspur FC,Tottenham Hotspur,2018/2019,England,38,23,12,11,2,2,0,13,5,8,1.87,2,1.74,4,4,67,39,28,106,50,56,34,33,16,23
Manchester City FC,Manchester City,2018/2019,England,38,32,18,14,2,0,2,4,1,3,2.58,2.84,2.32,1,1,95,23,72,118,69,49,57,38,12,11
Leicester City FC,Leicester City,2018/2019,England,38,15,8,7,7,3,4,16,8,8,1.37,1.42,1.32,9,9,51,48,3,99,44,55,24,27,20,28
Crystal Palace FC,Crystal Palace,2018/2019,England,38,14,5,9,7,5,2,17,9,8,1.29,1.05,1.53,12,12,51,53,-2,104,42,62,19,32,23,30
Everton FC,Everton,2018/2019,England,38,15,10,5,9,4,5,14,5,9,1.42,1.79,1.05,8,8,54,46,8,100,51,49,30,24,21,25
Burnley FC,Burnley,2018/2019,England,38,11,7,4,7,2,5,20,10,10,1.05,1.21,0.89,15,15,45,68,-23,113,56,57,24,21,32,36
Southampton FC,Southampton,2018/2019,England,38,9,5,4,12,8,4,17,6,11,1.03,1.21,0.84,16,16,45,65,-20,110,57,53,27,18,30,35
AFC Bournemouth,AFC Bournemouth,2018/2019,England,38,13,8,5,6,5,1,19,6,13,1.18,1.53,0.84,14,14,56,70,-14,126,55,71,30,26,25,45
Manchester United FC,Manchester United,2018/2019,England,38,19,10,9,9,6,3,10,3,7,1.74,1.89,1.58,6,6,65,54,11,119,58,61,33,32,25,29
Liverpool FC,Liverpool,2018/2019,England,38,30,17,13,7,2,5,1,0,1,2.55,2.79,2.32,2,2,89,22,67,111,65,46,55,34,10,12
Chelsea FC,Chelsea,2018/2019,England,38,21,12,9,9,6,3,8,1,7,1.89,2.21,1.58,3,3,63,39,24,102,51,51,39,24,12,27
West Ham United FC,West Ham United,2018/2019,England,38,15,9,6,7,4,3,16,6,10,1.37,1.63,1.11,10,10,52,55,-3,107,59,48,32,20,27,28
Watford FC,Watford,2018/2019,England,38,14,8,6,8,3,5,16,8,8,1.32,1.42,1.21,11,11,52,59,-7,111,54,57,26,26,28,31
Newcastle United FC,Newcastle United,2018/2019,England,38,12,8,4,9,1,8,17,10,7,1.18,1.32,1.05,13,13,42,48,-6,90,49,41,24,18,25,23
Cardiff City FC,Cardiff City,2018/2019,Wales,38,10,6,4,4,2,2,24,11,13,0.89,1.05,0.74,18,18,34,69,-35,103,59,44,21,13,38,31
Fulham FC,Fulham,2018/2019,England,38,7,6,1,5,3,2,26,10,16,0.68,1.11,0.26,19,19,34,81,-47,115,58,57,22,12,36,45
Brighton & Hove Albion FC,Brighton & Hove Albion,2018/2019,England,38,9,6,3,9,5,4,20,8,12,0.95,1.21,0.68,17,17,35,60,-25,95,47,48,19,16,28,32
Huddersfield Town FC,Huddersfield Town,2018/2019,England,38,3,2,1,7,3,4,28,14,14,0.42,0.47,0.37,20,20,22,76,-54,98,41,57,10,12,31,45
Wolverhampton Wanderers FC,Wolverhampton Wanderers,2018/2019,England,38,16,10,6,9,4,5,13,5,8,1.5,1.79,1.21,7,7,47,46,1,93,49,44,28,19,21,25
